Object,Total,Success,Failures,Date
account,3090,3090,0,2026-01-10 12:41:21
lead,319547,319546,1,2026-01-10 12:42:49
contact,6562,6562,0,2026-01-10 12:43:11
opportunity,3505,3505,0,2026-01-10 12:43:44
task,459125,459125,0,2026-01-10 12:44:16
campaign,1766,1766,0,2026-01-10 12:44:26
account_202505,2575,2575,0,2026-01-10 12:44:26
account_copy,1667,1667,0,2026-01-10 12:44:43
aws_industry_mapping_c,110,110,0,2026-01-10 12:44:51
campaign_influence,7006,7006,0,2026-01-10 12:44:54
campaign_member_status,4187,4187,0,2026-01-10 12:44:55
campaign_member,597685,597685,0,2026-01-10 12:45:31
contact_daily_metric,119,119,0,2026-01-10 12:45:35
contact_history,29562,29562,0,2026-01-10 12:45:37
contact_monthly_metric,101,101,0,2026-01-10 12:45:41
content_document,1119,1119,0,2026-01-10 12:45:44
content_taxonomy_term_relationship_type,1,1,0,2026-01-10 12:45:52
content_version,1127,1127,0,2026-01-10 12:45:56
contract,480,480,0,2026-01-10 12:46:09
crm_account,2034,2034,0,2026-01-10 12:46:18
currency_rate,4,4,0,2026-01-10 12:46:19
elvance_activity_log_c,64,64,0,2026-01-10 12:46:28
elvance_elvance_assignment_request_c,1,1,0,2026-01-10 12:46:36
elvance_elvance_log_c,2644,2644,0,2026-01-10 12:46:44
elvance_elvance_risk_c,14,14,0,2026-01-10 12:46:52
elvance_elvance_risk_entry_c,1133,1133,0,2026-01-10 12:47:00
elvance_elvance_user_c,33,33,0,2026-01-10 12:47:09
elvance_feature_gap_c,28,28,0,2026-01-10 12:47:17
elvance_feature_gap_entry_c,569,569,0,2026-01-10 12:47:25
elvance_opp_scorecard_c,1279,1279,0,2026-01-10 12:47:35
email_template_monthly_metric,501,501,0,2026-01-10 12:47:40
fivetran_api_call,2910712,2910712,0,2026-01-10 12:48:31
fivetran_audit,373101,373101,0,2026-01-10 12:48:40
fivetran_dependent_picklist_relation,4596,4596,0,2026-01-10 12:48:40
fivetran_formula_failure_reason,237,237,0,2026-01-10 12:48:41
fivetran_formula_history,222,222,0,2026-01-10 12:48:42
fivetran_formula,322,322,0,2026-01-10 12:48:43
fivetran_picklist_field_value,21301,21301,0,2026-01-10 12:48:44
fivetran_picklist_field,775,775,0,2026-01-10 12:48:44
fivetran_query,364267,364267,0,2026-01-10 12:48:56
fivetran_rollup_summary_filter,5,5,0,2026-01-10 12:48:57
fivetran_rollup_summary,49,49,0,2026-01-10 12:48:58
flow_orchestration_version,3,3,0,2026-01-10 12:49:07
flow_orchestration,3,3,0,2026-01-10 12:49:16
flow_record_element,5865,5865,0,2026-01-10 12:49:24
flow_record_version,741,741,0,2026-01-10 12:49:34
flow_record,192,192,0,2026-01-10 12:49:44
global_arr_forecast_c,170365,170365,0,2026-01-10 12:50:02
global_arr_forecast_history,170365,170365,0,2026-01-10 12:50:06
invoice_collection_c,7022,7022,0,2026-01-10 12:50:18
lead_daily_metric,14332,14332,0,2026-01-10 12:50:23
lead_history,2743125,2743125,0,2026-01-10 12:51:17
lead_monthly_metric,12129,12129,0,2026-01-10 12:51:22
lead_owner_allocation_rules_c,756,756,0,2026-01-10 12:51:31
list_email_monthly_metric,19,19,0,2026-01-10 12:51:35
month_end_arr_c,87484,87484,0,2026-01-10 12:51:45
month_end_arr_history,87484,87484,0,2026-01-10 12:51:48
monthly_arr_c,6,6,0,2026-01-10 12:51:57
monthly_arr_history,6,6,0,2026-01-10 12:51:58
object_territory_2_association,25,25,0,2026-01-10 12:51:59
operating_hours,1,1,0,2026-01-10 12:52:08
opportunity_contact_role,2637,2637,0,2026-01-10 12:52:10
opportunity_field_history,36608,36608,0,2026-01-10 12:52:12
opportunity_history,19640,19640,0,2026-01-10 12:52:14
opportunity_product_c,2918,2918,0,2026-01-10 12:52:23
opportunity_related_delete_log,3,3,0,2026-01-10 12:52:24
opportunity_stage,18,18,0,2026-01-10 12:52:26
opportunity_team_member_history,40,40,0,2026-01-10 12:52:27
order_history,18034,18034,0,2026-01-10 12:52:29
order_product_c,4291,4291,0,2026-01-10 12:52:38
order,4314,4314,0,2026-01-10 12:52:54
org_c,99791,99791,0,2026-01-10 12:53:07
org_history,101022,101022,0,2026-01-10 12:53:10
partner_region_owner_rule_c,4,4,0,2026-01-10 12:53:19
po_c_c,836,836,0,2026-01-10 12:53:31
pqcrush_account_plan_c,67,67,0,2026-01-10 12:53:41
pqcrush_account_plan_history,69,69,0,2026-01-10 12:53:42
pqcrush_account_plan_template_c,1,1,0,2026-01-10 12:53:50
pqcrush_contact_relationship_c,114,114,0,2026-01-10 12:53:58
pqcrush_contact_relationship_history,114,114,0,2026-01-10 12:53:59
pqcrush_contact_relationship_type_c,5,5,0,2026-01-10 12:54:07
pqcrush_crush_settings_obj_c,1,1,0,2026-01-10 12:54:18
pqcrush_key_date_c,5,5,0,2026-01-10 12:54:26
pqcrush_key_date_history,5,5,0,2026-01-10 12:54:27
pqcrush_map_member_lead_c,70,70,0,2026-01-10 12:54:35
pqcrush_map_member_lead_history,70,70,0,2026-01-10 12:54:36
pqcrush_map_member_placeholder_relationship_c,42,42,0,2026-01-10 12:54:44
pqcrush_map_member_user_c,8,8,0,2026-01-10 12:54:52
pqcrush_objective_c,10,10,0,2026-01-10 12:55:01
pqcrush_objective_history,10,10,0,2026-01-10 12:55:02
pqcrush_opportunity_list_user_filter_c,44,44,0,2026-01-10 12:55:10
pqcrush_org_chart_field_c,10,10,0,2026-01-10 12:55:18
pqcrush_pq_account_plan_score_history_c,1807,1807,0,2026-01-10 12:55:26
pqcrush_pq_account_plan_score_history_history,1807,1807,0,2026-01-10 12:55:27
pqcrush_pq_crush_account_plan_user_setting_c,5,5,0,2026-01-10 12:55:35
pqcrush_pq_crush_account_plan_user_setting_history,5,5,0,2026-01-10 12:55:36
pqcrush_pq_crush_plan_overview_c,266,266,0,2026-01-10 12:55:43
pqcrush_pq_crush_plan_overview_history,706,706,0,2026-01-10 12:55:44
pqcrush_pq_crush_user_setting_c,16,16,0,2026-01-10 12:55:52
pqcrush_pq_influence_and_support_matrix_c,1,1,0,2026-01-10 12:56:00
pqcrush_pq_influence_and_support_matrix_history,1,1,0,2026-01-10 12:56:01
pqcrush_pq_influence_c,3,3,0,2026-01-10 12:56:10
pqcrush_pq_influence_history,3,3,0,2026-01-10 12:56:11
pqcrush_pq_influence_matrix_association_c,3,3,0,2026-01-10 12:56:18
pqcrush_pq_influence_matrix_association_history,3,3,0,2026-01-10 12:56:19
pqcrush_pq_opportunity_manager_setting_c,1,1,0,2026-01-10 12:56:28
pqcrush_pq_opportunity_manager_setting_history,1,1,0,2026-01-10 12:56:29
pqcrush_pq_opportunity_plan_c,3322,3322,0,2026-01-10 12:56:37
pqcrush_pq_support_c,4,4,0,2026-01-10 12:56:45
pqcrush_pq_support_history,4,4,0,2026-01-10 12:56:46
pqcrush_pq_support_matrix_association_c,4,4,0,2026-01-10 12:56:54
pqcrush_pq_support_matrix_association_history,4,4,0,2026-01-10 12:56:56
pqcrush_relationship_group_c,28,28,0,2026-01-10 12:57:04
pqcrush_relationship_group_contact_association_c,14,14,0,2026-01-10 12:57:12
pqcrush_relationship_group_contact_association_history,14,14,0,2026-01-10 12:57:13
pqcrush_relationship_group_history,28,28,0,2026-01-10 12:57:14
pqcrush_relationship_group_lead_association_c,8,8,0,2026-01-10 12:57:21
pqcrush_relationship_group_lead_association_history,8,8,0,2026-01-10 12:57:23
pqcrush_relationship_group_user_association_c,1,1,0,2026-01-10 12:57:31
pqcrush_relationship_map_c,70,70,0,2026-01-10 12:57:39
pqcrush_relationship_map_member_c,465,465,0,2026-01-10 12:57:47
pqcrush_relationship_map_member_history,1211,1211,0,2026-01-10 12:57:48
pqcrush_rm_anchor_c,13,13,0,2026-01-10 12:57:56
pqcrush_rm_chart_setting_c,22,22,0,2026-01-10 12:58:04
pqcrush_rm_chart_setting_history,22,22,0,2026-01-10 12:58:06
pqcrush_rm_node_coordinate_c,525,525,0,2026-01-10 12:58:14
pqcrush_rm_org_setting_c,4,4,0,2026-01-10 12:58:24
pqcrush_rm_org_setting_history,4,4,0,2026-01-10 12:58:25
pqcrush_rm_svg_c,348,348,0,2026-01-10 12:58:34
pqcrush_rm_svg_history,348,348,0,2026-01-10 12:58:35
pqcrush_rm_svg_node_association_c,115,115,0,2026-01-10 12:58:44
pqcrush_rm_svg_node_association_history,115,115,0,2026-01-10 12:58:45
pqcrush_team_member_c,97,97,0,2026-01-10 12:58:53
pqcrush_team_member_history,102,102,0,2026-01-10 12:58:54
pqcrush_template_section_c,15,15,0,2026-01-10 12:59:02
pqcrush_white_space_amount_type_c,3,3,0,2026-01-10 12:59:10
pricebook_2,2,2,0,2026-01-10 12:59:19
pricebook_entry,174,174,0,2026-01-10 12:59:28
product_2,66,66,0,2026-01-10 12:59:37
qingflow_copy,76142,76142,0,2026-01-10 12:59:41
qingflow,228693,228693,0,2026-01-10 12:59:49
quote_history,1699,1699,0,2026-01-10 12:59:50
quote_product_c,1257,1257,0,2026-01-10 12:59:59
quote,1074,1074,0,2026-01-10 13:00:20
record_type,45,45,0,2026-01-10 13:00:28
revenue_c,8049,8049,0,2026-01-10 13:00:38
rule_territory_2_association,1,1,0,2026-01-10 13:00:40
salesforce__daily_activity,1027,1027,0,2026-01-10 13:00:41
salesforce__manager_performance,18,18,0,2026-01-10 13:00:44
salesforce__opportunity_enhanced,1259,1259,0,2026-01-10 13:00:50
salesforce__owner_performance,181,181,0,2026-01-10 13:00:55
salesforce__sales_snapshot,1,1,0,2026-01-10 13:00:58
salesforce_oppo_field_history,2409,2409,0,2026-01-10 13:00:59
salesforce_order_product,4291,4291,0,2026-01-10 13:01:07
salesforce_task,216324,216324,0,2026-01-10 13:01:12
service_man_day_c,3,3,0,2026-01-10 13:01:21
stg_salesforce__account,1522,1522,0,2026-01-10 13:01:24
stg_salesforce__lead,121409,121409,0,2026-01-10 13:01:32
stg_salesforce__opportunity,1259,1259,0,2026-01-10 13:01:36
stg_salesforce__task,148000,148000,0,2026-01-10 13:01:44
stg_salesforce__user,181,181,0,2026-01-10 13:01:47
territory_2_model_history,1,1,0,2026-01-10 13:01:48
territory_2_model,1,1,0,2026-01-10 13:01:56
time_slot,5,5,0,2026-01-10 13:01:58
uniq_tidb_port_id,99700,99700,0,2026-01-10 13:02:11
user_daily_metric,518,518,0,2026-01-10 13:02:17
user_defined_label,1,1,0,2026-01-10 13:02:24
user_monthly_metric,58,58,0,2026-01-10 13:02:31
user_role,43,43,0,2026-01-10 13:02:39
